order_id,sys_a_amount_attribute_1,date
47444117,8.0,2024-11-25
13986642,14.0,2024-09-04
72452114,5835.700195,2024-04-17
84050325,20.0,2024-09-08
32387155,100.0,2024-05-13
31439028,508.0,2024-07-16
88420641,1700.0,2024-07-23
11190001,500.0,2024-07-30
26977529,23.0,2024-07-08
80144100,100.0,2024-07-08
99646652,500.0,2024-07-08
63392311,130.0,2024-07-08
58366437,10000.0,2024-08-13
13836968,100.0,2024-08-13
70469434,13.0,2024-08-13
89330444,105.0,2024-08-13
60809058,368.0,2024-08-25
78377586,25.0,2024-08-25
14565692,70.0,2024-08-26
95078629,4500.0,2024-08-25
46223354,200.0,2024-08-26
85801698,350.0,2024-08-26
